ItemNumber,Title,Cost,Timestamp
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:04:28.815219
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:06:00.738324
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:06:01.546033
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:06:02.226609
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:06:02.670946
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:06:03.747950
1,How to get a good grade in 677 in 20 minutes a day,10,2019-03-31 21:07:13.429827
2,RPCs for Dummies,15,2019-04-01 22:44:23.923088
2,RPCs for Dummies,15,2019-04-01 22:44:33.202371
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-01 22:46:06.936708
4,Cooking for the Impatient Graduate Student,12,2019-04-01 22:51:28.907132
4,Cooking for the Impatient Graduate Student,12,2019-04-01 22:51:37.434246
2,RPCs for Dummies,15,2019-04-02 10:13:15.136232
2,RPCs for Dummies,15,2019-04-02 10:15:01.791582
2,RPCs for Dummies,15,2019-04-02 10:16:42.575004
2,RPCs for Dummies,15,2019-04-02 10:21:30.285928
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 10:21:45.345944
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 10:21:46.970634
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 10:21:48.333183
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 10:21:49.709508
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 10:21:50.893298
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 10:21:52.631549
2,RPCs for Dummies,15,2019-04-02 21:39:11.113441
2,RPCs for Dummies,15,2019-04-02 21:40:33.344034
2,RPCs for Dummies,15,2019-04-02 22:13:14.412443
2,RPCs for Dummies,15,2019-04-02 22:15:06.971195
2,RPCs for Dummies,15,2019-04-02 23:11:41.965372
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-02 23:29:01.197740
3,Xen and the Art of Surviving Graduate School,5,2019-04-03 02:35:17.382646
3,Xen and the Art of Surviving Graduate School,5,2019-04-03 02:35:21.753806
3,Xen and the Art of Surviving Graduate School,5,2019-04-03 02:35:26.603056
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:32.826648
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:32.923614
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:32.971534
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.021177
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.069644
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.118797
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.167706
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.214132
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.264352
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.315291
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.371104
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.424316
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.475323
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.529849
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.580968
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.631882
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.682471
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.736327
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.787707
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.838043
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.888895
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.940197
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:33.994698
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.045464
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.096808
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.150924
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.202087
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.254190
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.306105
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.354333
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.401594
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.450434
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.500109
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.553068
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.608623
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.659799
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.708109
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.754759
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.805347
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.852660
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.903457
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:34.954098
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.008664
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.061167
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.108368
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.154875
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.202463
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.249733
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.296410
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.343798
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.390366
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.436859
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.484853
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.532091
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.580141
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.626172
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.672319
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.721004
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.767993
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.815240
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.861927
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.912909
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:35.959851
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.007180
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.054871
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.104595
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.151365
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.198451
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.244641
1,How to get a good grade in 677 in 20 minutes a day,10,2019-04-03 17:43:36.291187
